,date,policy_type,start_stop,comments,total_phases,state
2310,2020-06-12,Non-Essential Businesses,stop,"Policy_Details: Businesses opening their doors should have operational plants to mitigate risk. 
Gatherings between 10 - 50 people allowed if appropriate measures taken. 
bars can be open.  Nightclubs remain closed. Movie theaters allowed t o open.  Phase Level: 3, Phase Details Source information: https://rebound.idaho.gov/stages-of-reopening/",,ID
2311,2020-06-01,Phase 2,stop,"Policy_Details: phase 2 begins in Cass County  Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",5.0,IN
2315,2020-09-30,Day Care,stop,"Policy_Details: Governor Brian Kemp issued Executive Order on 9/15, providing additional guidance for Empowering a Healthy Georgia in response to COVID-19. Specific guidelines for education, childcare facilities and camps remain generally the same as 8/31 order.    Source information: https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",,GA
2317,2020-07-20,Executive Order,stop,"Policy_Details: Governor Polis issued Executive Order D 2020 111 extending Executive Orders D 2020 015, D 2020 042, and D 2020 075 authorizing the executive directors of certain State agencies to promulgate and issue emergency rules extending the expiration date of licenses and other documents for an additional 30 days due to COVID-19 Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/Executive%20Order%20D%202020%20111.pdf",,CO
2318,2020-09-30,Houses of Worship,stop,Policy_Details: Executive Order 1522 by Governor Tate Reeves - amending previous orders (including 1492) and extending restrictions to 9/30.  Limits on indoor and outdoor group gathering sizes do not apply to religious entities.    Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1522.pdf,,MS
2319,2020-06-25,Entertainment,stop,Policy_Details: Movie theaters and performance venues: social distancing   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.06.10.pdf,,IA
2321,0020-04-24,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,AK
2323,2020-06-30,Non-Essential Businesses,stop,Policy_Details: Restaurants / Food Services & Personal Care mat reopen   Source information: https://forward.ny.gov/phase-three-industries,,NY
2325,2020-07-03,Houses of Worship,stop,"Policy_Details: virtual services preferred ; religious services (incl. wedding/funeral) not subject to social gathering limits, but wedding receptions & visitations before/after funerals are (250 persons max)    Source information: https://www.in.gov/gov/files/Executive%20Order%2020-32%20(Stage%204).pdf",,IN
2327,2020-08-07,Outdoor and Recreation,stop,"Policy_Details: On 7/23 Gov. John Bel Edwards signed Proclamation 96 JBE 2020 extending Phase 2 which also included a mask mandate (face covering must be worn by all, with exceptions, when inside a commercial establishment or any other building or space open to the public, whether indoor or outdoor)
Gyms and fitness centers:
a) No establishment shall exceed 50% of the total occupancy as determined by the State Fire Marshal.
b) Waiting rooms, lobbies, or other areas where members of the public may congregate (except for bathrooms) shall be closed to the public. Members of the public should be required to wait outside, while maintaining social distancing, or in vehicles. 

To further prevent the spread of COVID-19, crowd sizes shall be limited to no
more than 50 people in any single indoor space at the same time. Crowd sizes are limited to no more than 50 people in any single outdoor space where individuals will be in close proximity to one another and unable to maintain strict  social distancing of six feet apart from individuals who are not immediate household members.    Source information: https://gov.louisiana.gov/assets/Proclamations/2020/96-JBE-2020-State-of-Emergency-COVID-19-Resilient-Louisiana-Phase-2.pdf",,LA
2328,2020-06-12,Houses of Worship,stop,"Policy_Details: Businesses opening their doors should have operational plants to mitigate risk. 
Gatherings between 10 - 50 people allowed if appropriate measures taken. 
bars can be open.  Nightclubs remain closed. Movie theaters allowed t o open.  Phase Level: 3, Phase Details Source information: https://rebound.idaho.gov/stages-of-reopening/",,ID
2330,2020-06-29,Phase 4,stop,"Policy_Details: migrant camps for seasonal agricultural workers open with guidelines : separate beds by 6 ft. ; isolation housing, dining, bathroom facilities for COVID-19 suspected & confirmed residents ; medical evaluation at local health dept. or federally qualified health center for COVID-19 suspected & confirmed residents ; PPE for those delivering food & water to isolated residents  Phase Level: 4, Phase Details Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-530679--,00.html",6.0,MI
2331,0020-05-29,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,VA
2333,2020-10-30,Outdoor and Recreation,stop,"Policy_Details: Social or recreational gatherings are limited to less than 50 people, subject to certain exceptions and does not include worship services, weddings, funerals, or events related thereto.   Source information: https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee63.pdf",,TN
2336,2020-07-20,Executive Order,stop,"Policy_Details: Governor Polis issued Executive Order D 2020 108 extending Executive Order D 2020 077 which temporarily suspends certain statutes to preserve Colorado's Medicaid home health workforce and protect Medicaid enrollees from COVID-19 by reducing need for in person visits; temporarily suspend statutory requirements for cost sharing for COVID-19 testing and treatment for Medicaid enrollees Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20108%20Home%20Health%20Work%20Force.pdf",,CO
2338,2020-08-10,Outdoor and Recreation,stop,Policy_Details: Executive Order pausing gym and fitness provider operations.   Source information: https://www.azcommerce.com/covid-19/business-guidance/reopening-guidance-gyms-fitness-providers/,1.0,AZ
2339,2020-11-06,Food and Drink,stop,Policy_Details: Emergency Order #3 limits the capacity of indoor spaces open to the public to 25% occupancy levels. Outdoor spaces and indoor spaces that are not publicly accessible are excluded from this order.    Source information: https://evers.wi.gov/Documents/COVID19/EmO03-LimitingPublicGatherings.pdf,4.0,WI
2340,2020-12-31,Outdoor and Recreation,stop,Policy_Details: Sport event fan attendance limited to household members with 6 ft. separation.   Source information: http://dhhs.ne.gov/Documents/DHM-Measure-Table-ENGLISH.pdf,4.0,NE
2341,0020-05-18,Gyms,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,KS
2343,2020-06-05,Manufacturing,stop,"Policy_Details: The new order clarifies that generally all businesses that are within the counties that have been moved to the low risk phase are operating if they can meet and adhere to the specific guidelines. For clarity, the order states symptom checking in public and business interactions should happen when feasible. 

The guidance for  K-12 education addresses the resumption of school activities, including sports, under jurisdiction of district and school authorities in adherence to indoor and outdoor guidelines. 

Regarding higher education, campuses may be open for in-person classes with increased cleaning and hygiene regimen.   Source information: https://coronavirus.utah.gov/governor-issues-executive-order-releasing-updated-guidelines-for-low-risk-phase-in-the-utah-leads-together-plan/",,UT
2345,2020-06-20,Entertainment,stop,"Policy_Details: museums & zoos open with restrictions  Phase Level: 1, Phase Details Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7PP.pdf",3.0,CT
2346,0020-06-01,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,KY
2347,2020-06-17,Personal Care,stop,"Policy_Details: 50% capacity, appointment only Phase Level: 2, Phase Details Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.26%20%281%29.pdf",,IA
2349,2020-09-04,Phase 2,stop,Policy_Details: Governor Brown extended a previous state of emergency order.   Source information: https://www.oregon.gov/gov/Documents/executive_orders/eo_20-30.pdf,,OR
2355,2020-08-28,Entertainment,stop,Policy_Details: recreational or entertainment businesses and historical/cultural establishments that are not venues of assembly may conduct indoor and outdoor operations subject to a capacity limit of up to 66% or 1 person per 100 sq. ft.    Source information: https://governor.ri.gov/documents/orders/Executive-Order-20-58.pdf,3.0,RI
2356,0020-09-09,Gyms,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
2360,2020-08-01,Phase 4,start,"Policy_Details: PHASE 4: Blaine, Custer, Garfield, Greeley, Howard, Loup, Sherman, Valley, Wheeler, Antelope, Boyd, Brown, Cherry, Holt, Keya Paha, Knox, Pierce, Rock, Chase, Dundy, Frontier, Furnas, Hayes, Hitchcock, Keith, Perkins, Red Willow

ALL OTHER COUNTIES REMAIN IN PHASE 3   Source information: http://dhhs.ne.gov/Documents/COVID-19-Outline-of-Changes-to-Upcoming-DHMs-Phase-IV.pdf",4.0,NE
2361,2020-05-09,Non-Essential Businesses,start,"Policy_Details: ""All businesses and employers are encouraged to adopt and/or take the following
actions:
Businesses should encourage customers to wear FACE COVERINGS.
Continue to encourage TELEWORK, whenever possible and feasible with business operations.
If possible, have employees RETURN TO WORK IN PHASES.
CLOSE COMMON AREAS where personnel are likely to congregate and interact, or enforce strict social
distancing protocols.
Follow guidance from the NEVADA LABOR COMMISSIONER regarding sick leave policies.
Strongly consider SPECIAL ACCOMMODATIONS for employees who are members of a vulnerable
population.
Consider encouraging employees to do a SELF-ASSESSMENT each day in order to check if they have
any COVID-19 type symptoms (fever, cough or shortness of breath).
Remind employees to STAY HOME WHEN SICK, use cough and sneeze etiquette, and practice hand
hygiene.
Frequently perform enhanced ENVIRONMENTAL CLEANING of commonly touched surfaces.
Social Distancing & Sanitation Practices in Businesses - All businesses should consider proactive
measures to help protect staff and customers, including but not limited to:
• Implementing separate operating hours for the elderly and vulnerable customers.
• Designating with signage, tape or by other means, six feet of spacing for employees, customers,
clients or members to maintain appropriate distance.
• Having hand sanitizer, and sanitizing products, readily available for employees and customers.""   Source information: https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Declaration-of-Emergency-Directive-018.Phase-1-Reopening.5-7-20-1.pdf",,NV
2363,2020-05-22,Phase 3,start,"Policy_Details: - All businesses can open - All houses of worship can open - Libraries and museums can open - All recreational activities can open - All sports activities can open Phase Level: 3, Phase Details Source information: https://covid19.alaska.gov/wp-content/uploads/2020/05/05212020-Phase-III-IV-Guidance.pdf",,AK
2364,2020-05-04,Childcare (K-12),start,"Policy_Details: Governor lifted two executive orders, statewide. McMaster lifted the order on May 4. 
Childcare facilities are allowed to open.   Source information: https://governor.sc.gov/news/2020-05/gov-henry-mcmaster-lift-work-or-home-order-may-4th",,SC
2365,2020-05-15,Entertainment,start,"Policy_Details: ""Restaurants and bars must:
Ensure tables are spaced at least six (6) feet apart so that at least six (6) feet between parties is maintained, including when customers approach or leave tables
Require all employees to wear cloth face or disposable coverings (provided by the employer)
End all on-site consumption of food and drinks by 10pm      Personal care services (salons, barber shops, massage, etc.) must:
Make appointments with pre-appointment health check
Maintain a customer log
Maintain Six feet physical distancing between clients
Remove all magazines, newspapers, snacks and beverages from waiting areas
Require face coverings by employees and clients (depending on the services provided)     Gyms/ fitness must:
Limit maximum number of customers accordingly
Enforce physical distancing & sanitation""   Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
2366,2020-05-15,Entertainment,start,"Policy_Details: Currently open: Grocery stores, pharmacies, banks and credit unions, and gas stations are all open.
Restaurants are open for take-out service only.
Stand alone retail operations are open provided they meet required safety and physical distancing guidelines. Indoor and outdoor malls are closed.
Local outdoor recreation activities are open, including many state parks.
Non-emergency medical care, dentist offices and veterinary care are open and operating, provided they meet required safety guidelines.
Local cultural, civic and faith gatherings are allowed for up to 25 people provided physical distancing can be in place.
Local social gatherings over 10 people are prohibited and those under 10 people must use physical distancing.
Personal care services such as salons and barbers, as well as gyms, are closed.
Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers.
Public transit is open under certain restrictions, and must be sanitized often and enforce 3 feet of space between passengers.
Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children.
For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions.
 Phase Level: 1, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
2367,0020-04-22,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,CA
2369,2020-06-01,Outdoor and Recreation,start,"Policy_Details: movie theaters, swimming pools, gyms and fitness centers were allowed to reopen Phase Level: 2, Phase Details Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/",,KY
2372,2020-08-16,Phase 2,start,"Policy_Details: *Georgia does not have phase numbers associated with restrictions/orders. Governor Brian Kemp signed Executive Order on August 15th to extend/amend the Empowering a Healthy Georgia order for another two weeks since the most recent order from the beginning of August that expired August 15th . The order is comprehensive and outlines the restrictions/reopening of different business types as well as limits on gatherings and requirements for businesses. Local governments in Georgia previously could not mandate face coverings, as noted in the previous order, but now are able to on a limited basis require them on government property when threshold met in a county (100+ cases per 100,000 people in previous 14 days). Face coverings are otherwise strongly encouraged.   Source information: https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",,GA
2376,2020-07-20,Phase 3,start,Policy_Details: gatherings not to extend past 10 people    Source information: https://www.governor.wa.gov/sites/default/files/Memo%20SafeStart%20Changes%207.28.pdf,,WA
2381,2020-05-04,Food and Drink,start,"Policy_Details: Executive order by governor. Order excludes Miami-Dade, Broward, and Palm Beach counties. Restaurants are allowed to have on-premises consumption of food and beverage so long as occupancy is no more than 25% of the allowable building occupancy and social distancing measures are taken. Tables may have no more than 10 people seated.
Bars/pubs/nightclubs that derive more than 50% revenue from alcoholic beverages for on-premises consumption shall continue to suspend sale of alcoholic beverages for on-premises consumption. Phase Level: 1, Phase Details Source information: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-112.pdf",3.0,FL
2382,2020-03-20,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MT
2387,2020-05-01,Non-Essential Businesses,start,"Policy_Details: auto dealerships, car washes, barbershops, hair salons, pet grooming open
 Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",3.0,ME
2389,2020-03-17,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,AK
2390,2020-03-19,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,DE
2391,2020-05-26,Entertainment,start,"Policy_Details: Gov't Justice   Source information: https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-announces-schedule-for-additional-reopenings-including-malls,-bars,-casinos,-and-more.aspx",,WV
2392,2020-05-05,Food and Drink,start,"Policy_Details: "" Essential businesses open
- Existing construction that meets
 agreed upon criteria
- Landscaping
- Auto/RV/boat/ORV sales
- Retail (curb-side pick-up orders only)
- Car washes
- Pet walkers""   Source information: https://www.governor.wa.gov/sites/default/files/20-25.3%20-%20COVID-19%20Stay%20Home%20Stay%20Healthy%20-%20Reopening%20%28tmp%29.pdf?utm_medium=email&utm_source=govdelivery",,WA
2393,2020-04-04,Shelter in Place,start,State Policy Start,,AL
2398,2020-06-22,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,KS
2399,0020-04-28,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,SD
2400,2020-04-18,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,MD
2405,2020-04-28,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,DE
2411,2020-05-27,Personal Care,start,"Policy_Details: The new order clarifies that generally all businesses that are within the counties that have been moved to the low risk phase are operating if they can meet and adhere to the specific guidelines. For clarity, the order states symptom checking in public and business interactions should happen when feasible. 

The guidance for  K-12 education addresses the resumption of school activities, including sports, under jurisdiction of district and school authorities in adherence to indoor and outdoor guidelines. 

Regarding higher education, campuses may be open for in-person classes with increased cleaning and hygiene regimen.   Source information: https://coronavirus.utah.gov/governor-issues-executive-order-releasing-updated-guidelines-for-low-risk-phase-in-the-utah-leads-together-plan/",,UT
2412,2020-04-18,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,MD
2413,2020-03-26,Entertainment,start,"Policy_Details: indoor & outdoor events & entertainment (i.e. bowling alleys, movie theaters, arcades, theaters, festivals, concerts, etc.)  closed 
 Phase Level: Shelter in Place, Phase Details Source information: https://mn.gov/covid19/for-minnesotans/stay-safe-mn/stay-safe-plan.jsp",4.0,MN
2415,2020-05-11,Personal Care,start,"Policy_Details: Safer at Home order (amended/extended on May 22, 2020  by State Health Officer Scott Harris): close-contact service providers like barber shops, hair salons, etc. must operate under guidelines: enforced social distancing between clients of different households and employees must wear masks when providing services within 6 ft of customers   Source information: https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf",,AL
2416,2020-03-11,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,LA
2418,2020-06-15,Manufacturing,start,"Policy_Details: Outdoor dining (beginning on June 15)
Limited in-person retail (beginning on June 15)
Hair salons and barber shops (beginning on June 22)
Youth summer programs (beginning on July 6)
In-person clinical research/labs
Limited fitness/gyms
Limited in-person government services (e.g. – Motor Vehicle Commission)
Museums/libraries Phase Level: 2, Phase Details Source information: https://covid19.nj.gov/faqs/nj-information/general-public/how-does-new-jersey-plan-to-lift-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like",,NJ
2419,2020-06-16,Non-Essential Businesses,start,Policy_Details: Restaurants / Food Services & Personal Care mat reopen   Source information: https://forward.ny.gov/phase-three-industries,,NY
2421,2020-03-25,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,UT
2422,2020-04-03,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,CT
2425,2020-06-29,Phase 3,start,"Policy_Details: Governor Carney has delayed Delaware entering Phase 3 which was originally scheduled for June 29  Phase Level: 3, Phase Details Source information: https://news.delaware.gov/2020/06/25/statement-governor-carney-announces-delay-in-phase-3-of-economic-reopening/",,DE
2427,2020-03-13,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,DE
2431,2020-07-20,Mask Requirement,start,"Policy_Details: Face Coverings Directive Issued July 18, 2020 by Department of Health- The Secretary of Health requires every person in Arkansas to wear a face covering completely over the mouth and nose in all indoor environments, excluding private residences, where they are exposed to non-household members and distancing of six (6) feet or more cannot be assured and in all outdoor settings, excluding private residences, where there is exposure to non-household members, unless there exists ample space of six (6) feet or more to practice physical distancing.  The following shall be exempt from wearing a face covering a. Persons younger than 10 years of age (This requirement shall not supersede any decision by the Secretary of Education, public school district, or private school to require masks for children younger than 10 years of age while attending school); b. Persons with a medical condition or disability that prevents wearing a face covering; c. Persons performing job duties where a six feet distance is not achievable, but a mask is inhibitory to the ability to safely and effectively perform the job duty; d. Persons participating in athletic activities where a six feet distance is not achievable, but a mask is inhibitory to the activity or active exercise; e. Persons consuming food or drink; f. Persons driving alone or with passengers from the driver’s household; g. Persons receiving services that require access to the face for security, surveillance, or other purposes may temporarily remove a face covering while receiving those services; h. Persons voting, assisting voters, serving as poll watchers, or actively performing election administration duties; however, face coverings are strongly encouraged; i. Persons engaged in religious worship activities; however, face coverings are strongly encouraged; j. Persons giving a speech or performance for broadcast or to an audience; however, those persons shall safely distance from nearby individuals; k. Persons in counties where the Department of Health has certified that risk of community transmission of COVID-19 is low. To be considered low risk, the county must not have a newly identified case of COVID-19 for twenty-eight (28) consecutive days, assuming there has been adequate testing in the county   Source information: https://www.healthy.arkansas.gov/images/uploads/pdf/face_covering_directive.pdf",,AR
2432,2020-05-16,Childcare (K-12),start,"Policy_Details: All businesses are open but must establish and implement policies based on CDC guidance including: hygiene, intensify cleaning, physical distancing, protective equipment, limiting to 10 people when feasible. Phase Level: 1, Phase Details Source information: https://azgovernor.gov/sites/default/files/executive_order_2020-36_return_stronger.pdf",,AZ
2434,2020-09-25,Phase 3,start,"Policy_Details: Governor Ron Desantis issued Executive Order 20-244: Phase 3, Right to Work, Business Certainty and Suspension of Fines.  This order states that no COVID-19 emergency ordinance may prevent an individual from working or from operating a business (consistent with Executive Order 20-92).  The order also suspends the collection of fines and penalties associated with COVID-19 enforced upon individuals.    Source information: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-244.pdf",,FL
2442,2020-05-30,Entertainment,start,"Policy_Details: Mandatory social distancing.
Schools: CLOSED
All other businesses: 50% capacity or up to 10 people. Phase Level: 2, Phase Details Source information: https://www.ghs.guam.gov/jic-release-no-115-governor-signs-executive-order-2020-14-guam-pcor-2-sunday-pandemic-condition",4.0,GU
2446,2020-05-01,Manufacturing,start,"Policy_Details: Stay at home order ended by governor on april 30th, statewide. Executive order to enter phase one. Texas' stay-at-home order ended April 30. Gov. Greg Abbott. manufacturers permitted to reopen on May 18 at 25% capacity with guidelines, and must keep social distancing and sanitation requirements in mind. Phase Level: 1, Phase Details Source information: https://gov.texas.gov/uploads/files/press/EO-GA-18_expanded_reopening_of_services_COVID-19.pdf",,TX
2449,2020-03-23,Shelter in Place,start,"Stay at home, effective March 23 until April 6. On April 2, extended through May 4",,WA
2452,2020-03-23,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,VA
2454,2020-03-19,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,WA
2456,2020-07-10,Mask Requirement,start,"Policy_Details: Andy Beshear, Governor, Executive Order 2020-0586 (7/9): Face coverings required when in a public indoor setting or outdoor space where social distancing is not possible, with exceptions for receiving a service that requires face to be uncovered, people age 5 or under, with a medical condition that prevents them from wearing a mask safely, or doing a task that would be unsafe for wearing a ask, or actively exercising or swimming, exceptions for actively eating/drinking, or for security reasons).    Source information: https://govsite-assets.s3.amazonaws.com/A59NLcxVTFG7ioyvncMY_20200709_Executive-Order_State-of-Emergency.pdf",,KY
2457,2020-05-01,Entertainment,start,"Policy_Details: Stay at home order ended by governor on april 30th, statewide. Executive order to enter phase one.  Texas' stay-at-home order ended April 30. Gov. Greg Abbott allowed movie theaters, and museums to operate at 25% capacity starting May 1, saying businesses should operate with social distancing and sanitation measures in mind. Bars, interactive amusement venues, such as bowling alleys, remain closed. Phase Level: 1, Phase Details Source information: https://gov.texas.gov/uploads/files/press/EO-GA-18_expanded_reopening_of_services_COVID-19.pdf",,TX
2458,2020-03-26,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
2465,2020-03-09,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,RI
2466,2020-03-23,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,SD
2469,2020-05-01,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,IL
2470,2020-06-17,Nursing Home Visitations,start,"Policy_Details: If on June 17, a nursing home has no active COVID-19 cases for at least the past consecutive 14 days, visitation will be allowed to resume, with an appointment  Phase Level: 2, Phase Details Source information: https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-announces-nursing-home-visitation,-graduation-ceremonies-to-be-allowed-with-limitations.aspx",,WV
2471,2020-06-15,Entertainment,start,"Policy_Details: Governor Carney announced Phase 2 of Delaware's reopening will begin June 15, 2020
INDIVIDUAL GUIDELINES
-Cloth coverings must be worn
-Non-household members must maximize social distancing
-All individuals in public (parks, outdoor recreation areas, shopping, etc) must social distance
-Indoor gathering limit: 50 people but social distance from non-household members
-Places operating at 30% occupancy under Phase 1 can move to 60% occupancy 
-Exercise facilities and personal care services (hair, tanning, tattoo, massage, nail, brow, spas) to remain at 30% occupancy
-Fully unenclosed outdoor gatherings of up to 250 people are permitted
-Leisure travel should be avoided but may resume under general guidance
-All vulnerable individuals should continue to shelter in place
BUSINESS GUIDELINES
-Common areas where people can congregate must remain closed
-Employees/customers have responsibility to self-quarantine if they think they may be sick
-Teleworking is encouraged
-All surfaces touched by customers must be disinfected by EPA-approved disinfectant every 15 minutes to 2 hours 
-Employees required to go to work should perform daily health work 
-All employees must wash hands throughout the day and use hand sanitizer and social distance from other employees
-Businesses must make hand sanitizer available to employees and patrons (hand sanitizer must be 60% ethanol and 70% isopropanol 
-Downtime should be given between shifts and after closing for cleaning 
-Employees must post signs about how to stop spread of COVID-19, hand hygiene, and wear a face covering  Phase Level: 2, Phase Details Source information: https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-2.pdf",,DE
2473,2020-05-20,Entertainment,start,"Policy_Details: indoor venues closed (auditoriums, stadiums, arenas, parades, fairs, festivals, movie theaters)    Source information: https://coronavirus.ohio.gov/static/publicorders/Camp-Safe-Order.pdf",,OH
2474,2020-03-25,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,KY
2478,2020-03-20,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,ME
2479,2020-03-21,Shelter in Place,start,State Policy Start,,NJ
2483,2020-05-30,Manufacturing,start,"Policy_Details: gatherings of more than 50 people, both public and private should be avoided. 
non-essential travel can resume. 
all business and governmental agencies may continue to resume operations at physical locations. 

night clubs and large venues are required to remain closed.  Phase Level: 3, Phase Details Source information: https://coronavirus.idaho.gov/stay-healthy-order/",,ID
2485,2020-06-01,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MN
2486,2020-05-01,Non-Essential Businesses,start,"Policy_Details: Stay at home order ended by governor on april 30th, statewide. Executive order to enter phase one. Texas' stay-at-home order ended April 30. Gov. Greg Abbott allowed retail stores, malls to operate at 25% capacity starting May 1, saying businesses should operate with social distancing and sanitation measures in mind.   Offices are permitted to reopen on May 18 at 25% capacity with guidelines
 Phase Level: 1, Phase Details Source information: https://gov.texas.gov/uploads/files/press/EO-GA-18_expanded_reopening_of_services_COVID-19.pdf",,TX
2487,2020-03-30,Day Care,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,MD
2489,2020-05-30,Childcare (K-12),start,"Policy_Details: gatherings of more than 50 people, both public and private should be avoided. 
non-essential travel can resume. 
all business and governmental agencies may continue to resume operations at physical locations. 

night clubs and large venues are required to remain closed.  Phase Level: 3, Phase Details Source information: https://coronavirus.idaho.gov/stay-healthy-order/",,ID
2495,2020-03-10,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,MA
2501,2020-03-17,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MN
2502,2020-05-15,New Phase,start,"Policy_Details: Restaurants and bars must: Ensure tables are spaced at least six (6) feet apart so that at least six (6) feet between parties is maintained, including when customers approach or leave tables Require all employees to wear cloth face or disposable coverings (provided by the employer) End all on-site consumption of food and drinks by 10pm Personal care services (salons, barber shops, massage, etc.) must: Make appointments with pre-appointment health check Maintain a customer log Maintain Six feet physical distancing between clients Remove all magazines, newspapers, snacks and beverages from waiting areas Require face coverings by employees and clients (depending on the services provided) Gyms/ fitness must: Limit maximum number of customers accordingly Enforce physical distancing & sanitation   Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
2507,2020-03-27,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,PA
